title,author
Empires of the Monsoon,Richard Hall
The Gap Into Madness,Stephen R. Donaldson
Miss Marple,Agatha Christie
'Tis,Frank McCourt
A Small Pinch of Weather,Joan Aiken
Tree and Leaf,John Ronald Reuel Tolkien
"The Lord of the Rings, the Return of the King",Jude Fisher
The Lord of the Rings,Gary Russell
Lirael,Garth Nix
Breaking Open the Head,Daniel Pinchbeck
The Return of the King,J. R. R. Tolkien
Poirot,Agatha Christie
Discover Your Destiny with the Monk Who Sold His Ferrari,Robin Sharma
Naked Lunch,William S. Burroughs
The Love of the Last Tycoon,F. Scott Fitzgerald
Where the Red Fern Grows,Wilson Rawls
Going Postal,Terry Pratchett
Modern Mind,Peter Watson
Identity,Milan Kundera
The Illustrated Alchemist,Paulo Coelho;Alan R. Clarke;Moebius
The Secret Garden Cookbook,Amy Cotler
Laura's Album,William Anderson
Small Wonder,Barbara Kingsolver
Worlds Enough & Time,Dan Simmons
Caesar,Colleen McCullough
What Went Wrong?,Bernard Lewis
Letters from the Earth,Mark Twain
The Innovator's Dilemma,Clayton M. Christensen
Warrior of the Light,Paulo Coelho
The Devil and Miss Prym,Paulo Coelho
The Big Bing,Stanley Bing
Walt Whitman,Justin Kaplan
How to Make Love Like a Porn Star,Jenna Jameson;Neil Strauss
1421,Gavin Menzies
The Girls of Lighthouse Lane #3,Thomas Kinkade;Erika Tamar
The Game,Neil Strauss
Gold,Isaac Asimov
Built to Last,Jim Collins;Jerry I. Porras
Slouching Toward Nirvana,Charles Bukowski
Bad Childhood---Good Life,Laura Schlessinger
Slider,Patrick Robinson
Eleven Minutes,Paulo Coelho
Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig
A Dirty Job,Christopher Moore
Quicksilver,Neal Stephenson
Lost Horizon,James Hilton
Thomas Jefferson,Christopher Hitchens
Shadow of the Almighty,Elisabeth Elliot
C.S. Lewis,C. S. Lewis
"The Collected Letters of C.S. Lewis, Volume 1",C. S. Lewis
Touching the Void,Joe Simpson
Anybody Out There?,Marian Keyes
The Confusion,Neal Stephenson
Behind the Curtain,Peter Abrahams
Wicked Musical Tie-in Edition,Gregory Maguire
Beauty,Robin McKinley
Mating in Captivity,Esther Perel
The Reading Group,Elizabeth Noble
YOU: The Owner's Manual,Michael F Roizen;Mehmet C Oz
The Final Solution,Michael Chabon
Holy Skirts,Rene Steinke
A False Mirror,Charles Todd
Mysteries of Pittsburgh,Michael Chabon
Everything Is Illuminated tie-in,Jonathan Safran Foer
Flight of the Nighthawks,Raymond E. Feist
Into a Dark Realm,Raymond E. Feist
Voice of the Gods,Trudi Canavan
"The Collected Letters of C.S. Lewis, Volume 3",C. S. Lewis
King of the Vagabonds,Neal Stephenson
Odalisque,Neal Stephenson
Black Boy,Richard Wright
Rat Bastards,John Shea
The Last Days of Henry VIII,Robert Hutchinson
The Professor and the Madman,Simon Winchester
The Curtain,Milan Kundera
"A Hard Day's Write, 3e",Steve Turner
Queen of Babble,Meg Cabot
Genome,Matt Ridley
The Zero,Jess Walter
Teaching a Stone to Talk,Annie Dillard
The Dance of Intimacy,Harriet Lerner
The Lost Continent,Bill Bryson
Declarations of Independence,Howard Zinn
The Infinite Plan,Isabel Allende
Slowness,Milan Kundera
As Nature Made Him,John Colapinto
The Poisonwood Bible,Barbara Kingsolver
Cloudsplitter,Russell Banks
"Plato, Not Prozac!",Lou Marinoff
The Map That Changed the World,Simon Winchester;Soun Vannithone
A Mulligan for Bobby Jobe,Robert Cullen
In the Footsteps of Mr. Kurtz,Michela Wrong
Every Tongue Got to Confess,Zora Neale Hurston
One Matchless Time,Jay Parini
The Schopenhauer Cure,Irvin Yalom
African Nights,Kuki Gallmann
Beauty,John O'Donohue
The Darling,Russell Banks
The Language Instinct,Steven Pinker
Prodigal Summer,Barbara Kingsolver
Fear of Falling,Barbara Ehrenreich
Savage Inequalities,Jonathan Kozol
Reasons to Live,Amy Hempel
Courtesans and Fishcakes,James Davidson
Confessions of an Ugly Stepsister,Gregory Maguire
The Dirt,Tommy Lee;Vince Neil;Nikki Sixx;Mick Mars
Well of Darkness,Margaret Weis;Tracy Hickman
